,AGE,CFID,CFPARAMS,GP,L,MIN,PCT_AST,PCT_BLK,PCT_BLKA,PCT_DREB,PCT_FG3A,PCT_FG3M,PCT_FGA,PCT_FGM,PCT_FTA,PCT_FTM,PCT_OREB,PCT_PF,PCT_PFD,PCT_PTS,PCT_REB,PCT_STL,PCT_TOV,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_ID,USG_PCT,W,W_PCT
52,23.0,5,"112,1610612757",3,2,16.0,0.143,0.0,0.0,0.167,0.0,0.0,0.095,0.182,0.364,0.5,0.0,0.25,0.4,0.258,0.154,0.5,0.333,112,Dontonio Wingfield,POR,1610612757,0.181,1,0.333
53,30.0,5,"28,1610612750",3,3,91.0,0.14,0.111,0.1,0.087,0.111,0.0,0.139,0.174,0.231,0.29,0.0,0.268,0.308,0.188,0.056,0.125,0.053,28,Doug West,MIN,1610612750,0.139,0,0.0
54,34.0,5,"291,1610612748",2,0,6.0,0.167,0.0,0.0,0.0,0.0,0.0,0.3,0.286,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,291,Ed Pinckney,MIA,1610612748,0.233,2,1.0
55,38.0,5,"698,1610612745",16,7,289.0,0.071,0.0,0.211,0.119,0.359,0.28,0.265,0.241,0.156,0.197,0.214,0.132,0.098,0.235,0.146,0.122,0.075,698,Eddie Johnson,HOU,1610612745,0.224,9,0.563
56,25.0,5,"224,1610612747",9,5,299.0,0.252,0.143,0.194,0.149,0.276,0.321,0.168,0.184,0.171,0.174,0.114,0.145,0.117,0.189,0.138,0.231,0.157,224,Eddie Jones,LAL,1610612747,0.167,4,0.444
57,28.0,5,"922,1610612747",9,5,291.0,0.078,0.382,0.344,0.157,0.014,0.043,0.228,0.208,0.212,0.228,0.241,0.199,0.16,0.206,0.18,0.171,0.182,922,Elden Campbell,LAL,1610612747,0.219,4,0.444
58,29.0,5,"695,1610612737",10,6,126.0,0.243,0.0,0.083,0.107,0.22,0.267,0.138,0.143,0.127,0.1,0.088,0.161,0.179,0.142,0.101,0.25,0.156,695,Eldridge Recasner,ATL,1610612737,0.14,4,0.4
59,26.0,5,"15,1610612746",3,3,40.0,0.0,0.0,0.0,0.083,0.294,0.25,0.177,0.154,0.269,0.333,0.1,0.25,0.133,0.205,0.091,0.2,0.0,15,Eric Piatkowski,LAC,1610612746,0.18,0,0.0
60,24.0,5,"727,1610612760",8,4,49.0,0.444,0.0,0.0,0.077,0.182,0.167,0.12,0.116,0.105,0.077,0.0,0.292,0.385,0.117,0.049,0.267,0.0,727,Eric Snow,SEA,1610612760,0.111,4,0.5
61,28.0,5,"56,1610612760",12,6,567.0,0.394,0.095,0.279,0.139,0.309,0.266,0.276,0.254,0.19,0.189,0.123,0.1,0.103,0.241,0.134,0.236,0.224,56,Gary Payton,SEA,1610612760,0.259,6,0.5
62,22.0,5,"718,1610612757",4,3,65.0,0.167,0.2,0.429,0.28,0.071,0.0,0.315,0.342,0.314,0.231,0.313,0.25,0.214,0.305,0.293,0.0,0.273,718,Gary Trent,POR,1610612757,0.308,1,0.25
63,33.0,5,"786,1610612753",5,3,147.0,0.105,0.133,0.375,0.071,0.155,0.188,0.205,0.184,0.169,0.182,0.107,0.111,0.107,0.184,0.08,0.0,0.103,786,Gerald Wilkins,ORL,1610612753,0.19,2,0.4
64,26.0,5,"49,1610612764",3,3,72.0,0.0,0.5,0.25,0.41,0.0,0.0,0.089,0.089,0.229,0.259,0.125,0.171,0.182,0.126,0.327,0.0,0.379,49,Gheorghe Muresan,WAS,1610612764,0.162,0,0.0
65,30.0,5,"779,1610612766",3,3,143.0,0.204,0.111,0.0,0.141,0.34,0.333,0.247,0.259,0.426,0.467,0.028,0.183,0.143,0.297,0.103,0.222,0.108,779,Glen Rice,CHH,1610612766,0.244,0,0.0
66,24.0,5,"255,1610612765",5,3,212.0,0.474,0.556,0.421,0.221,0.0,0.0,0.326,0.326,0.476,0.452,0.342,0.161,0.149,0.326,0.256,0.133,0.463,255,Grant Hill,DET,1610612765,0.354,2,0.4
67,31.0,5,"3,1610612765",5,3,91.0,0.143,0.0,0.1,0.175,0.065,0.0,0.144,0.138,0.25,0.257,0.286,0.289,0.211,0.153,0.204,0.267,0.0,3,Grant Long,DET,1610612765,0.141,2,0.4
68,28.0,5,"323,1610612762",20,7,319.0,0.092,0.318,0.25,0.22,0.084,0.067,0.157,0.138,0.171,0.176,0.3,0.308,0.301,0.144,0.237,0.1,0.116,323,Greg Foster,UTA,1610612762,0.152,13,0.65
69,26.0,5,"37,1610612760",6,3,47.0,0.25,0.0,0.333,0.179,0.2,0.125,0.197,0.111,0.108,0.103,0.0,0.156,0.158,0.11,0.161,0.143,0.091,37,Greg Graham,SEA,1610612760,0.171,3,0.5
70,24.0,5,"731,1610612762",20,7,471.0,0.026,0.758,0.207,0.283,0.0,0.0,0.114,0.101,0.133,0.13,0.397,0.357,0.378,0.102,0.318,0.132,0.149,731,Greg Ostertag,UTA,1610612762,0.12,13,0.65
71,34.0,5,"165,1610612745",16,7,648.0,0.173,0.661,0.228,0.341,0.009,0.0,0.249,0.312,0.296,0.278,0.311,0.22,0.213,0.278,0.333,0.32,0.24,165,Hakeem Olajuwon,HOU,1610612745,0.253,9,0.563
72,31.0,5,"265,1610612764",3,3,29.0,0.0,0.25,0.0,0.211,0.167,0.0,0.06,0.0,0.0,0.0,0.0,0.294,0.231,0.0,0.138,0.0,0.0,265,Harvey Grant,WAS,1610612764,0.047,0,0.0
73,31.0,5,"1080,1610612737",8,5,46.0,0.182,0.0,0.167,0.0,0.3,0.333,0.191,0.125,0.0,0.0,0.091,0.429,0.5,0.108,0.03,0.25,0.19,1080,Henry James,ATL,1610612737,0.172,3,0.375
74,39.0,5,"1006,1610612752",3,2,22.0,0.0,0.0,0.0,0.083,0.0,0.0,0.161,0.133,0.0,0.0,0.0,0.667,0.0,0.108,0.071,0.0,0.0,1006,Herb Williams,NYK,1610612752,0.119,1,0.333
75,30.0,5,"765,1610612760",12,6,501.0,0.146,0.095,0.116,0.128,0.276,0.325,0.159,0.167,0.119,0.131,0.12,0.139,0.129,0.171,0.125,0.3,0.154,765,Hersey Hawkins,SEA,1610612760,0.154,6,0.5
76,34.0,5,"73,1610612756",5,3,106.0,0.065,0.533,0.143,0.25,0.0,0.0,0.085,0.113,0.204,0.114,0.385,0.293,0.381,0.1,0.295,0.105,0.179,73,Hot Rod Williams,PHX,1610612756,0.108,2,0.4
77,24.0,5,"458,1610612762",20,7,226.0,0.471,0.0,0.238,0.101,0.264,0.321,0.222,0.247,0.183,0.211,0.083,0.229,0.294,0.241,0.097,0.1,0.279,458,Howard Eisley,UTA,1610612762,0.223,13,0.65
78,27.0,5,"1134,1610612748",15,8,298.0,0.062,0.219,0.238,0.289,0.03,0.023,0.198,0.212,0.212,0.231,0.291,0.257,0.258,0.199,0.289,0.171,0.227,1134,Ike Austin,MIA,1610612748,0.205,7,0.467
79,26.0,5,"375,1610612757",4,3,169.0,0.262,0.0,0.333,0.081,0.267,0.4,0.18,0.15,0.179,0.217,0.026,0.116,0.15,0.178,0.065,0.167,0.222,375,Isaiah Rider,POR,1610612757,0.187,1,0.25
80,26.0,5,"1096,1610612737",3,2,6.0,1.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.2,0.0,0.333,1096,Ivano Newbill,ATL,1610612737,0.072,1,0.333
81,24.0,5,"469,1610612748",17,9,576.0,0.179,0.036,0.229,0.183,0.217,0.212,0.199,0.188,0.141,0.139,0.186,0.221,0.206,0.181,0.184,0.213,0.169,469,Jamal Mashburn,MIA,1610612748,0.188,8,0.471
82,26.0,5,"381,1610612750",2,2,32.0,0.158,0.0,0.0,0.111,0.5,0.5,0.188,0.156,0.0,0.0,0.1,0.211,0.1,0.187,0.107,0.5,0.25,381,James Robinson,MIN,1610612750,0.183,0,0.0
83,29.0,5,"1114,1610612764",3,3,12.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.222,0.0,1.0,0.875,1.0,0.0,0.4,0.0,0.667,1114,Jaren Jackson,WAS,1610612764,0.131,0,0.0
84,24.0,5,"679,1610612741",17,3,177.0,0.192,0.231,0.125,0.173,0.0,0.0,0.117,0.126,0.169,0.177,0.481,0.314,0.179,0.128,0.28,0.1,0.255,679,Jason Caffey,CHI,1610612741,0.14,14,0.824
85,24.0,5,"467,1610612756",5,3,214.0,0.495,0.095,0.211,0.208,0.171,0.163,0.149,0.139,0.174,0.12,0.1,0.12,0.118,0.138,0.182,0.314,0.206,467,Jason Kidd,PHX,1610612756,0.159,2,0.4
86,34.0,5,"204,1610612762",20,7,725.0,0.222,0.053,0.113,0.151,0.276,0.26,0.189,0.177,0.221,0.246,0.129,0.152,0.156,0.199,0.145,0.21,0.196,204,Jeff Hornacek,UTA,1610612762,0.194,13,0.65
87,18.0,5,"979,1610612757",2,2,4.0,0.0,1.0,0.0,0.333,1.0,0.0,0.333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,979,Jermaine O'Neal,POR,1610612757,0.329,0,0.0
88,35.0,5,"760,1610612747",9,5,220.0,0.167,0.207,0.0,0.281,0.015,0.0,0.118,0.12,0.111,0.117,0.298,0.296,0.258,0.114,0.286,0.3,0.059,760,Jerome Kersey,LAL,1610612747,0.11,4,0.444
89,24.0,5,"966,1610612765",1,1,5.0,0.0,0.0,0.0,0.6,0.0,0.0,0.286,0.5,0.0,0.0,0.0,0.0,0.0,0.308,0.5,1.0,0.25,966,Jerome Williams,DET,1610612765,0.213,0,0.0
90,24.0,5,"29,1610612760",5,2,30.0,0.0,0.667,0.0,0.067,0.0,0.0,0.146,0.16,0.154,0.1,0.25,0.389,0.385,0.13,0.105,0.125,0.25,29,Jim McIlvaine,SEA,1610612760,0.154,3,0.6
91,34.0,5,"247,1610612765",5,3,221.0,0.159,0.0,0.105,0.069,0.284,0.214,0.18,0.149,0.244,0.297,0.051,0.106,0.109,0.178,0.064,0.156,0.171,247,Joe Dumars,DET,1610612765,0.185,2,0.4
92,27.0,5,"180,1610612748",15,7,131.0,0.289,0.0,0.364,0.073,0.25,0.313,0.193,0.191,0.095,0.12,0.208,0.211,0.206,0.183,0.104,0.2,0.233,180,John Crotty,MIA,1610612748,0.19,8,0.533
93,31.0,5,"317,1610612752",9,3,263.0,0.229,0.0,0.217,0.148,0.5,0.464,0.261,0.253,0.228,0.248,0.137,0.194,0.173,0.264,0.146,0.222,0.244,317,John Starks,NYK,1610612752,0.254,6,0.667
94,35.0,5,"304,1610612762",20,7,763.0,0.554,0.065,0.141,0.13,0.258,0.275,0.191,0.221,0.201,0.223,0.1,0.139,0.136,0.224,0.121,0.287,0.307,304,John Stockton,UTA,1610612762,0.208,13,0.65
95,23.0,5,"961,1610612752",4,3,43.0,0.25,0.5,0.75,0.185,0.063,0.0,0.231,0.133,0.095,0.111,0.222,0.286,0.353,0.122,0.194,0.25,0.1,961,John Wallace,NYK,1610612752,0.19,1,0.25
96,27.0,5,"468,1610612737",2,1,9.0,0.0,0.0,0.0,0.0,0.429,0.0,0.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468,Jon Barry,ATL,1610612737,0.137,1,0.5
97,29.0,5,"146,1610612741",18,4,142.0,0.077,0.091,0.154,0.154,0.169,0.167,0.128,0.126,0.063,0.051,0.205,0.203,0.231,0.114,0.17,0.103,0.04,146,Jud Buechler,CHI,1610612741,0.113,14,0.778
