,AST,AST_RANK,BLK,BLKA,BLKA_RANK,BLK_RANK,COURT_STATUS,DREB,DREB_RANK,FG3A,FG3A_RANK,FG3M,FG3M_RANK,FG3_PCT,FG3_PCT_RANK,FGA,FGA_RANK,FGM,FGM_RANK,FG_PCT,FG_PCT_RANK,FTA,FTA_RANK,FTM,FTM_RANK,FT_PCT,FT_PCT_RANK,GP,GP_RANK,GROUP_SET,L,L_RANK,MIN,MIN_RANK,OREB,OREB_RANK,PF,PFD,PFD_RANK,PF_RANK,PLUS_MINUS,PLUS_MINUS_RANK,PTS,PTS_RANK,REB,REB_RANK,STL,STL_RANK,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,TOV_RANK,VS_PLAYER_ID,VS_PLAYER_NAME,W,W_PCT,W_PCT_RANK,W_RANK
0,368,8,68,99,9,8,On,547,8,400,7,144,7,0.36,7,1403,8,627,8,0.447,13,465,7,369,7,0.794,5,36,6,On/Off Court,23,10,855.081666667,7,149,8,382,395,7,10,-132.0,15,1767,7,696,8,124,8,SAC,1610612758,Sacramento Kings,256.0,10,201167,"Afflalo, Arron",13,0.361,11,7
1,461,4,83,104,10,5,On,618,6,539,4,180,5,0.334,13,1661,6,744,6,0.448,12,520,5,403,5,0.775,8,40,5,On/Off Court,26,12,984.786666667,6,173,7,442,440,5,13,-140.0,16,2071,6,791,6,153,6,SAC,1610612758,Sacramento Kings,289.0,12,2440,"Barnes, Matt",14,0.35,13,6
2,187,11,38,58,5,11,On,257,11,195,12,65,12,0.333,14,689,11,309,11,0.448,11,180,10,144,10,0.8,3,22,12,On/Off Court,13,5,396.67,11,92,11,160,169,11,5,-9.0,7,827,11,349,11,65,12,SAC,1610612758,Sacramento Kings,129.0,6,201956,"Casspi, Omri",9,0.409,3,12
3,174,12,31,58,5,12,On,248,12,211,11,66,11,0.313,15,675,12,286,12,0.424,16,170,11,124,12,0.729,15,36,6,On/Off Court,23,10,394.685,12,76,12,183,156,12,6,-111.0,14,762,12,324,12,71,11,SAC,1610612758,Sacramento Kings,117.0,5,1626161,"Cauley-Stein, Willie",13,0.361,11,7
4,471,3,98,113,12,3,On,645,5,560,3,205,3,0.366,5,1765,3,804,3,0.456,7,507,6,392,6,0.773,9,35,8,On/Off Court,22,9,1026.86666667,3,194,5,403,427,6,11,-53.0,10,2205,4,839,5,183,4,SAC,1610612758,Sacramento Kings,287.0,11,201954,"Collison, Darren",13,0.371,8,7
5,668,1,126,164,16,1,On,926,1,750,1,282,1,0.376,3,2443,1,1125,1,0.46,5,805,1,633,1,0.786,6,42,3,On/Off Court,26,12,1450.31166667,1,271,1,604,686,1,16,4.0,3,3165,1,1197,1,242,1,SAC,1610612758,Sacramento Kings,410.0,16,202326,"Cousins, DeMarcus",16,0.381,5,1
6,23,14,4,3,2,14,On,17,15,20,15,9,14,0.45,1,60,14,30,15,0.5,3,17,14,14,14,0.824,1,2,15,On/Off Court,1,1,35.38,14,6,13,12,16,14,3,-1.0,5,83,14,23,15,8,15,SAC,1610612758,Sacramento Kings,11.0,3,200770,"Farmar, Jordan",1,0.5,1,13
7,450,5,99,119,13,2,On,685,4,496,6,184,4,0.371,4,1760,4,792,4,0.45,10,569,3,453,3,0.796,4,30,11,On/Off Court,19,7,1012.95833333,5,216,2,416,473,3,12,68.0,1,2221,3,901,3,185,3,SAC,1610612758,Sacramento Kings,291.0,13,200752,"Gay, Rudy",11,0.367,9,11
8,372,7,73,108,11,7,On,587,7,376,8,134,9,0.356,8,1460,7,651,7,0.446,14,354,9,286,8,0.808,2,43,1,On/Off Court,27,15,839.568333333,8,177,6,331,321,8,9,-40.0,9,1722,8,764,7,151,7,SAC,1610612758,Sacramento Kings,250.0,9,201585,"Koufos, Kosta",16,0.372,6,1
9,19,15,5,3,2,13,On,23,14,23,14,8,15,0.348,11,57,15,31,14,0.544,1,16,15,11,15,0.688,16,5,14,On/Off Court,5,3,33.25,15,6,13,6,13,15,2,10.0,2,81,15,29,14,9,14,SAC,1610612758,Sacramento Kings,8.0,2,1627746,"Labissiere, Skal",0,0.0,15,15
