,AGE,BLK,BLKA,CFID,CFPARAMS,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
99,31.0,0.016,0.006,5,"330,1610612756",77,40,0.47,0.143,0.104,0.166,0.382,0.054,0.0,330,Danny Manning,0.037,0.023,0.036,0.143,PHX,1610612756.0,37,0.481
100,29.0,0.004,0.011,5,"353,1610612753",67,33,0.473,0.128,0.142,0.16,0.392,0.049,0.0,353,Darrell Armstrong,0.02,0.031,0.043,0.053,ORL,1610612753.0,34,0.507
101,26.0,0.0,0.012,5,"239,1610612746",82,46,0.456,0.126,0.127,0.165,0.427,0.038,0.0,239,Darrick Martin,0.022,0.025,0.038,0.067,LAC,1610612746.0,36,0.439
102,25.0,0.003,0.012,5,"241,1610612737",24,7,0.432,0.125,0.11,0.156,0.317,0.046,0.0,241,Darrin Hancock,0.006,0.055,0.043,0.092,ATL,1610612737.0,17,0.708
103,23.0,0.011,0.011,5,"1032,1610612754",36,23,0.46,0.122,0.093,0.195,0.32,0.077,0.0,1032,Darvin Ham,0.024,0.032,0.015,0.081,IND,1610612754.0,13,0.361
104,31.0,0.019,0.01,5,"764,1610612759",6,3,0.486,0.104,0.12,0.146,0.337,0.023,0.0,764,David Robinson,0.062,0.019,0.045,0.188,SAS,1610612759.0,3,0.5
105,24.0,0.023,0.018,5,"710,1610612753",35,18,0.464,0.105,0.176,0.181,0.41,0.062,0.0,710,David Vaughn,0.047,0.026,0.024,0.078,ORL,1610612753.0,17,0.486
106,26.0,0.002,0.008,5,"133,1610612738",74,61,0.445,0.128,0.139,0.163,0.469,0.03,0.0,133,David Wesley,0.016,0.033,0.04,0.061,BOS,1610612738.0,13,0.176
107,33.0,0.002,0.004,5,"766,1610612760",65,16,0.478,0.136,0.112,0.155,0.346,0.053,0.0,766,David Wingate,0.011,0.021,0.03,0.035,SEA,1610612760.0,49,0.754
108,32.0,0.012,0.0,5,"116,1610612749",46,29,0.469,0.089,0.121,0.144,0.37,0.065,0.002,116,David Wood,0.012,0.019,0.019,0.046,MIL,1610612749.0,17,0.37
109,30.0,0.026,0.009,5,"1051,1610612750",68,38,0.477,0.13,0.128,0.164,0.421,0.04,0.001,1051,Dean Garrett,0.042,0.011,0.023,0.1,MIN,1610612750.0,30,0.441
110,28.0,0.006,0.005,5,"244,1610612738",21,17,0.438,0.142,0.091,0.152,0.432,0.037,0.0,244,Dee Brown,0.01,0.011,0.021,0.029,BOS,1610612738.0,4,0.19
111,33.0,0.003,0.006,5,"209,1610612766",68,25,0.49,0.155,0.097,0.146,0.407,0.032,0.0,209,Dell Curry,0.024,0.031,0.04,0.053,CHH,1610612766.0,43,0.632
112,27.0,0.0,0.048,5,"725,1610612753",2,2,0.435,0.0,0.095,0.239,0.477,0.048,0.0,725,Dell Demps,0.0,0.0,0.0,0.0,ORL,1610612753.0,0,0.0
113,36.0,0.004,0.001,5,"23,1610612741",55,7,0.458,0.13,0.094,0.13,0.347,0.037,0.003,23,Dennis Rodman,0.032,0.008,0.01,0.051,CHI,1610612741.0,48,0.873
114,28.0,0.004,0.006,5,"192,1610612753",66,28,0.479,0.137,0.155,0.158,0.414,0.028,0.0,192,Dennis Scott,0.021,0.017,0.029,0.032,ORL,1610612753.0,38,0.576
115,22.0,0.002,0.01,5,"965,1610612747",80,25,0.46,0.125,0.137,0.154,0.388,0.04,0.0,965,Derek Fisher,0.014,0.022,0.031,0.056,LAL,1610612747.0,55,0.688
116,35.0,0.003,0.003,5,"157,1610612742",75,52,0.481,0.138,0.139,0.167,0.373,0.03,0.0,157,Derek Harper,0.008,0.035,0.037,0.05,DAL,1610612742.0,23,0.307
117,29.0,0.005,0.014,5,"400,1610612753",82,37,0.482,0.137,0.161,0.166,0.419,0.043,0.0,400,Derek Strong,0.033,0.012,0.023,0.08,ORL,1610612753.0,45,0.549
118,24.0,0.0,0.0,5,"308,1610612737",2,1,0.384,0.0,0.217,0.072,0.362,0.0,0.0,308,Derrick Alston,0.0,0.0,0.0,0.0,ATL,1610612737.0,1,0.5
119,30.0,0.015,0.012,5,"934,1610612755",57,39,0.438,0.143,0.144,0.189,0.41,0.032,0.0,934,Derrick Coleman,0.044,0.016,0.031,0.101,PHI,1610612755.0,18,0.316
120,30.0,0.01,0.01,5,"365,1610612754",50,26,0.485,0.145,0.127,0.181,0.355,0.042,0.0,365,Derrick McKey,0.02,0.016,0.024,0.058,IND,1610612754.0,24,0.48
121,34.0,0.003,0.006,5,"96,1610612760",61,18,0.472,0.135,0.105,0.162,0.327,0.031,0.001,96,Detlef Schrempf,0.032,0.038,0.045,0.085,SEA,1610612760.0,43,0.705
122,25.0,0.0,0.008,5,"1070,1610612759",6,3,0.416,0.135,0.27,0.278,0.428,0.079,0.0,1070,Devin Gray,0.056,0.016,0.016,0.127,SAS,1610612759.0,3,0.5
123,27.0,0.01,0.02,5,"1121,1610612756",8,5,0.441,0.157,0.196,0.088,0.549,0.029,0.0,1121,Dexter Boney,0.02,0.039,0.02,0.078,PHX,1610612756.0,3,0.375
124,25.0,0.006,0.02,5,"54,1610612741",48,7,0.457,0.154,0.089,0.134,0.373,0.047,0.0,54,Dickey Simpkins,0.02,0.011,0.017,0.052,CHI,1610612741.0,41,0.854
125,31.0,0.043,0.009,5,"87,1610612737",80,26,0.498,0.137,0.106,0.154,0.346,0.038,0.0,87,Dikembe Mutombo,0.046,0.008,0.029,0.113,ATL,1610612737.0,54,0.675
126,30.0,0.025,0.014,5,"129,1610612738",25,19,0.465,0.153,0.145,0.175,0.436,0.036,0.001,129,Dino Radja,0.018,0.025,0.031,0.092,BOS,1610612738.0,6,0.24
