,AGE,BLK,CFID,CFPARAMS,DEF_RATING,DEF_WS,DREB,DREB_PCT,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PCT_BLK,PCT_DREB,PCT_STL,PLAYER_ID,PLAYER_NAME,STL,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
74,22.0,6,5,"1520,1610612746",102.6,0.28,14,0.052,34,19,292.478333333,96,67,145,284,0.14,0.08,0.222,1520,Charles Smith,12,LAC,1610612746,15,0.441
75,27.0,37,5,"369,1610612752",95.2,4.47,242,0.122,82,39,2322.61166667,551,440,725,1509,0.21,0.162,0.376,369,Charlie Ward,144,NYK,1610612752,43,0.524
76,21.0,4,5,"1497,1610612761",106.4,1.06,128,0.072,80,52,2215.02,721,827,862,2196,0.014,0.113,0.212,1497,Chauncey Billups,107,TOR,1610612761,28,0.35
77,25.0,86,5,"685,1610612750",105.6,0.98,297,0.191,79,36,1702.905,620,523,615,1566,0.391,0.291,0.134,685,Cherokee Parks,36,MIN,1610612750,43,0.544
78,23.0,27,5,"1512,1610612742",103.9,0.54,104,0.174,41,31,679.455,219,272,257,644,0.355,0.27,0.277,1512,Chris Anstey,31,DAL,1610612742,10,0.244
79,24.0,11,5,"713,1610612750",102.9,1.09,112,0.105,51,23,1168.43666667,375,392,481,1024,0.081,0.15,0.096,713,Chris Carr,17,MIN,1610612750,28,0.549
80,30.0,6,5,"164,1610612752",98.5,2.33,132,0.103,68,31,1600.535,421,303,521,1076,0.058,0.142,0.23,164,Chris Childs,56,NYK,1610612752,37,0.544
81,23.0,7,5,"1544,1610612737",108.0,0.08,21,0.084,40,16,255.746666667,88,102,135,264,0.304,0.125,0.197,1544,Chris Crawford,12,ATL,1610612737,24,0.6
82,33.0,51,5,"201,1610612752",90.1,2.16,167,0.221,51,22,856.301666667,213,154,269,482,0.689,0.299,0.103,201,Chris Dudley,13,NYK,1610612752,29,0.569
83,23.0,4,5,"1612,1610612761",108.9,0.05,17,0.073,38,31,287.285,105,132,151,272,0.095,0.112,0.318,1612,Chris Garner,21,TOR,1610612761,7,0.184
84,30.0,29,5,"423,1610612751",105.5,0.81,216,0.2,57,27,1358.62,439,391,471,1231,0.254,0.307,0.181,423,Chris Gatling,52,NJN,1610612751,30,0.526
85,28.0,30,5,"168,1610612752",94.9,4.21,288,0.157,80,38,2182.53333333,568,402,669,1448,0.197,0.214,0.122,168,Chris Mills,45,NYK,1610612752,42,0.525
86,32.0,17,5,"356,1610612762",103.2,0.48,79,0.164,54,11,538.041666667,178,140,202,376,0.254,0.249,0.248,356,Chris Morris,25,UTA,1610612762,43,0.796
87,34.0,39,5,"904,1610612754",97.2,3.6,211,0.107,82,24,2177.87333333,646,638,659,1726,0.181,0.156,0.28,904,Chris Mullin,95,IND,1610612754,58,0.707
88,24.0,4,5,"997,1610612758",105.3,0.25,37,0.098,35,31,417.116666667,131,157,137,348,0.105,0.141,0.284,997,Chris Robinson,19,SAC,1610612758,4,0.114
89,25.0,124,5,"185,1610612764",101.8,2.97,498,0.209,71,32,2809.0,815,798,929,2496,0.468,0.301,0.23,185,Chris Webber,111,WAS,1610612764,39,0.549
90,26.0,6,5,"43,1610612764",101.9,1.14,99,0.108,82,40,1073.47,308,250,315,884,0.056,0.153,0.2,43,Chris Whitney,34,WAS,1610612764,42,0.512
91,28.0,73,5,"363,1610612737",100.7,2.69,345,0.174,74,27,2286.52666667,639,561,764,1784,0.255,0.254,0.188,363,Christian Laettner,71,ATL,1610612737,47,0.635
92,34.0,10,5,"456,1610612759",96.8,2.48,187,0.14,61,19,1451.94666667,433,315,523,1032,0.052,0.192,0.16,456,Chuck Person,29,SAS,1610612759,42,0.689
93,30.0,13,5,"359,1610612737",101.4,1.34,125,0.119,77,30,1205.835,362,312,404,1010,0.1,0.17,0.121,359,Chucky Brown,23,ATL,1610612737,47,0.61
94,27.0,74,5,"221,1610612744",101.6,2.47,396,0.194,79,55,2324.77,696,691,889,1910,0.303,0.285,0.213,221,Clar. Weatherspoon,85,GSW,1610612744,24,0.304
95,31.0,90,5,"361,1610612756",100.7,2.84,258,0.129,80,25,2368.24833333,693,594,811,2102,0.345,0.182,0.211,361,Clifford Robinson,92,PHX,1610612756,55,0.688
96,25.0,0,5,"32,1610612750",105.4,0.02,3,0.214,6,5,30.6616666667,5,6,15,20,0.0,0.375,0.0,32,Clifford Rozier,0,MIN,1610612750,1,0.167
97,36.0,42,5,"17,1610612745",105.0,1.62,241,0.113,70,31,2475.465,795,668,834,2135,0.216,0.16,0.279,17,Clyde Drexler,126,HOU,1610612745,39,0.557
98,27.0,7,5,"1133,1610612766",99.9,0.96,63,0.104,59,22,737.546666667,213,163,277,622,0.135,0.152,0.244,1133,Corey Beck,33,CHH,1610612766,37,0.627
99,29.0,25,5,"916,1610612747",100.5,1.27,184,0.201,70,19,1026.15,343,286,384,896,0.195,0.295,0.168,916,Corie Blount,29,LAL,1610612747,51,0.729
100,24.0,48,5,"722,1610612758",103.4,2.4,284,0.114,79,54,2814.51,857,920,1021,2592,0.167,0.172,0.178,722,Corliss Williamson,76,SAC,1610612758,25,0.316
101,25.0,11,5,"724,1610612743",105.0,0.84,129,0.117,60,31,1295.15833333,359,296,504,1004,0.067,0.17,0.311,724,Cory Alexander,70,DEN,1610612743,29,0.483
102,29.0,87,5,"905,1610612754",99.4,2.98,378,0.193,78,23,2171.03333333,685,619,636,1740,0.39,0.286,0.155,905,Dale Davis,51,IND,1610612754,55,0.705
103,37.0,5,5,"107,1610612760",100.8,2.25,133,0.084,79,20,1942.33833333,623,497,612,1483,0.035,0.129,0.156,107,Dale Ellis,60,SEA,1610612760,59,0.747
104,24.0,7,5,"757,1610612757",105.6,1.64,211,0.089,71,47,2842.51666667,920,1225,1043,2702,0.017,0.134,0.224,757,Damon Stoudamire,113,POR,1610612757,24,0.338
105,32.0,15,5,"105,1610612748",96.9,3.2,220,0.128,72,23,1928.07166667,574,378,603,1398,0.066,0.187,0.209,105,Dan Majerle,68,MIA,1610612748,49,0.681
106,39.0,33,5,"7,1610612753",100.4,1.54,145,0.146,74,39,1274.16333333,359,353,453,1009,0.232,0.213,0.157,7,Dan Schayes,34,ORL,1610612753,35,0.473
107,31.0,6,5,"344,1610612738",102.7,1.58,125,0.094,80,44,1689.75666667,521,525,621,1558,0.038,0.142,0.21,344,Dana Barros,83,BOS,1610612738,36,0.45
108,31.0,17,5,"198,1610612739",98.4,1.51,91,0.111,69,30,1037.94833333,273,278,412,786,0.172,0.157,0.146,198,Danny Ferry,26,CLE,1610612739,39,0.565
109,22.0,30,5,"1504,1610612743",109.3,0.19,266,0.182,80,69,1813.42833333,557,478,720,1512,0.195,0.277,0.132,1504,Danny Fortson,44,DEN,1610612743,11,0.138
110,32.0,46,5,"330,1610612756",95.7,3.29,282,0.178,70,24,1800.76166667,495,364,588,1282,0.245,0.247,0.207,330,Danny Manning,71,PHX,1610612756,46,0.657
111,30.0,5,5,"353,1610612753",100.6,1.49,94,0.096,48,25,1237.655,338,356,417,1020,0.04,0.144,0.254,353,Darrell Armstrong,58,ORL,1610612753,23,0.479
112,27.0,10,5,"239,1610612746",107.0,0.9,145,0.072,82,65,2293.30666667,774,672,886,2229,0.042,0.108,0.219,239,Darrick Martin,82,LAC,1610612746,17,0.207
