,AGE,BLK,BLKA,CFID,CFPARAMS,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
79,24.0,0.05,0.02,5,"185,1610612764",72,32,2895.54166667,0.27,0.27,0.35,0.81,0.09,0.0,185,Chris Webber,0.1,0.08,0.1,0.31,WAS,1610612764.0,40,0.556
80,25.0,0.0,0.01,5,"43,1610612764",82,38,1152.945,0.29,0.24,0.32,0.76,0.08,0.0,43,Chris Whitney,0.03,0.06,0.06,0.09,WAS,1610612764.0,44,0.537
81,27.0,0.02,0.02,5,"363,1610612737",82,26,3219.53833333,0.29,0.22,0.3,0.71,0.08,0.0,363,Christian Laettner,0.08,0.03,0.08,0.2,ATL,1610612737.0,56,0.683
82,29.0,0.03,0.01,5,"359,1610612749",70,45,786.336666667,0.3,0.34,0.36,0.9,0.12,0.0,359,Chucky Brown,0.06,0.04,0.05,0.14,MIL,1610612749.0,25,0.357
83,26.0,0.03,0.03,5,"221,1610612755",82,60,3021.57666667,0.32,0.35,0.42,0.95,0.06,0.0,221,Clar. Weatherspoon,0.07,0.02,0.05,0.17,PHI,1610612755.0,22,0.268
84,30.0,0.02,0.02,5,"361,1610612757",81,33,3187.89833333,0.24,0.25,0.35,0.79,0.07,0.0,361,Clifford Robinson,0.04,0.04,0.07,0.14,POR,1610612757.0,48,0.593
85,24.0,0.06,0.02,5,"32,1610612761",42,27,752.073333333,0.28,0.37,0.39,0.89,0.12,0.0,32,Clifford Rozier,0.09,0.05,0.03,0.2,TOR,1610612761.0,15,0.357
86,35.0,0.02,0.02,5,"17,1610612745",62,16,2337.31833333,0.28,0.26,0.35,0.78,0.06,0.0,17,Clyde Drexler,0.05,0.09,0.08,0.18,HOU,1610612745.0,46,0.742
87,28.0,0.03,0.01,5,"916,1610612747",58,18,1039.79666667,0.27,0.28,0.36,0.88,0.11,0.0,916,Corie Blount,0.05,0.05,0.04,0.15,LAL,1610612747.0,40,0.69
88,23.0,0.02,0.03,5,"722,1610612758",79,47,2046.095,0.29,0.26,0.38,0.84,0.12,0.0,722,Corliss Williamson,0.08,0.07,0.08,0.3,SAC,1610612758.0,32,0.405
89,24.0,0.01,0.02,5,"724,1610612759",80,60,1503.46666667,0.28,0.29,0.41,0.8,0.1,0.0,724,Cory Alexander,0.03,0.05,0.07,0.08,SAS,1610612759.0,20,0.25
90,35.0,0.0,0.02,5,"378,1610612760",62,17,884.473333333,0.29,0.18,0.32,0.72,0.08,0.0,378,Craig Ehlo,0.05,0.05,0.06,0.1,SEA,1610612760.0,45,0.726
91,25.0,0.0,0.0,5,"733,1610612749",3,3,13.7733333333,0.07,0.65,0.0,0.73,0.07,0.0,733,Cuonzo Martin,0.0,0.0,0.0,0.0,MIL,1610612749.0,0,0.0
92,28.0,0.03,0.02,5,"905,1610612754",80,41,2673.47166667,0.25,0.27,0.35,0.71,0.08,0.0,905,Dale Davis,0.1,0.02,0.04,0.24,IND,1610612754.0,39,0.488
93,36.0,0.0,0.02,5,"107,1610612743",82,61,3044.01666667,0.31,0.28,0.39,0.93,0.06,0.0,107,Dale Ellis,0.06,0.05,0.06,0.08,DEN,1610612743.0,21,0.256
94,23.0,0.0,0.03,5,"757,1610612761",81,51,3412.71166667,0.3,0.35,0.37,0.87,0.05,0.0,757,Damon Stoudamire,0.04,0.08,0.08,0.15,TOR,1610612761.0,30,0.37
95,31.0,0.01,0.02,5,"105,1610612748",36,9,1309.375,0.26,0.18,0.37,0.71,0.06,0.0,105,Dan Majerle,0.06,0.05,0.06,0.09,MIA,1610612748.0,27,0.75
96,38.0,0.03,0.02,5,"7,1610612753",45,20,561.643333333,0.3,0.32,0.34,0.8,0.12,0.0,7,Dan Schayes,0.08,0.0,0.05,0.08,ORL,1610612753.0,25,0.556
97,30.0,0.01,0.02,5,"344,1610612738",24,18,725.5,0.3,0.34,0.37,1.06,0.04,0.0,344,Dana Barros,0.02,0.1,0.08,0.09,BOS,1610612738.0,6,0.25
98,30.0,0.01,0.01,5,"198,1610612739",82,40,2723.83666667,0.21,0.18,0.3,0.69,0.08,0.0,198,Danny Ferry,0.04,0.01,0.06,0.02,CLE,1610612739.0,42,0.512
99,31.0,0.03,0.01,5,"330,1610612756",77,40,2211.66,0.31,0.22,0.35,0.81,0.11,0.0,330,Danny Manning,0.08,0.05,0.08,0.3,PHX,1610612756.0,37,0.481
100,29.0,0.01,0.02,5,"353,1610612753",67,33,1043.955,0.27,0.3,0.34,0.83,0.1,0.0,353,Darrell Armstrong,0.04,0.07,0.09,0.11,ORL,1610612753.0,34,0.507
101,26.0,0.0,0.03,5,"239,1610612746",82,46,1879.155,0.28,0.28,0.36,0.94,0.08,0.0,239,Darrick Martin,0.05,0.06,0.08,0.15,LAC,1610612746.0,36,0.439
102,25.0,0.01,0.03,5,"241,1610612737",24,7,141.41,0.29,0.25,0.36,0.74,0.11,0.0,241,Darrin Hancock,0.01,0.13,0.1,0.21,ATL,1610612737.0,17,0.708
103,23.0,0.02,0.02,5,"1032,1610612754",36,23,327.581666667,0.27,0.2,0.42,0.7,0.17,0.0,1032,Darvin Ham,0.05,0.07,0.03,0.18,IND,1610612754.0,13,0.361
104,31.0,0.04,0.02,5,"764,1610612759",6,3,149.775,0.21,0.25,0.3,0.69,0.05,0.0,764,David Robinson,0.13,0.04,0.09,0.39,SAS,1610612759.0,3,0.5
105,24.0,0.05,0.04,5,"710,1610612753",35,18,307.988333333,0.23,0.38,0.39,0.88,0.13,0.0,710,David Vaughn,0.1,0.06,0.05,0.17,ORL,1610612753.0,17,0.486
106,26.0,0.0,0.02,5,"133,1610612738",74,61,3086.50166667,0.29,0.31,0.37,1.05,0.07,0.0,133,David Wesley,0.04,0.07,0.09,0.14,BOS,1610612738.0,13,0.176
107,33.0,0.01,0.01,5,"766,1610612760",65,16,958.263333333,0.28,0.23,0.32,0.73,0.11,0.0,766,David Wingate,0.02,0.04,0.06,0.07,SEA,1610612760.0,49,0.754
108,32.0,0.02,0.0,5,"116,1610612749",46,29,243.746666667,0.19,0.26,0.31,0.79,0.14,0.0,116,David Wood,0.02,0.04,0.04,0.1,MIL,1610612749.0,17,0.37
109,30.0,0.06,0.02,5,"1051,1610612750",68,38,1714.98833333,0.27,0.27,0.34,0.88,0.08,0.0,1051,Dean Garrett,0.09,0.02,0.05,0.21,MIN,1610612750.0,30,0.441
110,28.0,0.01,0.01,5,"244,1610612738",21,17,534.998333333,0.32,0.21,0.35,0.99,0.08,0.0,244,Dee Brown,0.02,0.03,0.05,0.07,BOS,1610612738.0,4,0.19
111,33.0,0.01,0.01,5,"209,1610612766",68,25,2148.98,0.32,0.2,0.3,0.83,0.07,0.0,209,Dell Curry,0.05,0.06,0.08,0.11,CHH,1610612766.0,43,0.632
112,27.0,0.0,0.11,5,"725,1610612753",2,2,9.12666666667,0.0,0.22,0.55,1.1,0.11,0.0,725,Dell Demps,0.0,0.0,0.0,0.0,ORL,1610612753.0,0,0.0
113,36.0,0.01,0.0,5,"23,1610612741",55,7,1999.465,0.28,0.21,0.28,0.76,0.08,0.01,23,Dennis Rodman,0.07,0.02,0.02,0.11,CHI,1610612741.0,48,0.873
114,28.0,0.01,0.01,5,"192,1610612753",66,28,2231.11666667,0.29,0.32,0.33,0.86,0.06,0.0,192,Dennis Scott,0.04,0.03,0.06,0.07,ORL,1610612753.0,38,0.576
115,22.0,0.01,0.02,5,"965,1610612747",80,25,954.101666667,0.27,0.3,0.33,0.84,0.09,0.0,965,Derek Fisher,0.03,0.05,0.07,0.12,LAL,1610612747.0,55,0.688
116,35.0,0.01,0.01,5,"157,1610612742",75,52,2292.09,0.29,0.29,0.35,0.78,0.06,0.0,157,Derek Harper,0.02,0.07,0.08,0.1,DAL,1610612742.0,23,0.307
117,29.0,0.01,0.03,5,"400,1610612753",82,37,2072.42666667,0.28,0.33,0.34,0.87,0.09,0.0,400,Derek Strong,0.07,0.02,0.05,0.17,ORL,1610612753.0,45,0.549
118,24.0,0.0,0.0,5,"308,1610612737",2,1,10.6,0.0,0.57,0.19,0.94,0.0,0.0,308,Derrick Alston,0.0,0.0,0.0,0.0,ATL,1610612737.0,1,0.5
119,30.0,0.03,0.03,5,"934,1610612755",57,39,2158.65,0.33,0.33,0.43,0.94,0.07,0.0,934,Derrick Coleman,0.1,0.04,0.07,0.23,PHI,1610612755.0,18,0.316
120,30.0,0.02,0.02,5,"365,1610612754",50,26,1496.11833333,0.3,0.26,0.37,0.73,0.09,0.0,365,Derrick McKey,0.04,0.03,0.05,0.12,IND,1610612754.0,24,0.48
121,34.0,0.01,0.01,5,"96,1610612760",61,18,2264.63166667,0.29,0.22,0.34,0.69,0.07,0.0,96,Detlef Schrempf,0.07,0.08,0.09,0.18,SEA,1610612760.0,43,0.705
122,25.0,0.0,0.02,5,"1070,1610612759",6,3,52.435,0.32,0.65,0.67,1.03,0.19,0.0,1070,Devin Gray,0.13,0.04,0.04,0.31,SAS,1610612759.0,3,0.5
123,27.0,0.02,0.04,5,"1121,1610612756",8,5,45.0166666667,0.36,0.44,0.2,1.24,0.07,0.0,1121,Dexter Boney,0.04,0.09,0.04,0.18,PHX,1610612756.0,3,0.375
124,25.0,0.01,0.04,5,"54,1610612741",48,7,407.088333333,0.34,0.19,0.29,0.82,0.1,0.0,54,Dickey Simpkins,0.04,0.02,0.04,0.11,CHI,1610612741.0,41,0.854
125,31.0,0.09,0.02,5,"87,1610612737",80,26,3057.30333333,0.27,0.21,0.31,0.69,0.08,0.0,87,Dikembe Mutombo,0.09,0.02,0.06,0.23,ATL,1610612737.0,54,0.675
126,30.0,0.05,0.03,5,"129,1610612738",25,19,901.888333333,0.33,0.31,0.38,0.94,0.08,0.0,129,Dino Radja,0.04,0.05,0.07,0.2,BOS,1610612738.0,6,0.24
127,37.0,0.02,0.04,5,"1122,1610612759",63,49,1996.175,0.32,0.28,0.34,0.92,0.05,0.0,1122,Dominique Wilkins,0.1,0.06,0.09,0.26,SAS,1610612759.0,14,0.222
128,27.0,0.01,0.03,5,"931,1610612755",37,26,757.383333333,0.32,0.33,0.37,0.97,0.09,0.0,931,Don MacLean,0.07,0.08,0.12,0.22,PHI,1610612755.0,11,0.297
129,23.0,0.03,0.01,5,"690,1610612765",47,16,482.395,0.29,0.19,0.29,0.72,0.19,0.0,690,Don Reid,0.06,0.07,0.07,0.2,DET,1610612765.0,31,0.66
