,GAME_ID,EVENTNUM,PERIOD,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,ACTION_TYPE,EVENT_TYPE,GAME_EVENT_ID,LOC_X,LOC_Y,SHOT_DISTANCE,SHOT_MADE_FLAG,SHOT_TYPE,SHOT_ZONE_AREA,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE
41,21200778,121,2,10:17,,,Gibson 14' Jump Shot (2 PTS) (Belinelli 1 AST),201959,Taj Gibson,1610612741.0,201158,Marco Belinelli,1610612741.0,0,,,Jump Shot,Made Shot,121,138,19,13,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
42,21200778,122,2,10:01,MISS Terry 8' Running Jump Shot,,,1891,Jason Terry,1610612738.0,0,,,0,,,Running Jump Shot,Missed Shot,122,-57,60,8,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.
43,21200778,132,2,9:31,,,Gibson 1' Driving Dunk (4 PTS) (Teague 2 AST),201959,Taj Gibson,1610612741.0,203104,Marquis Teague,1610612741.0,0,,,Driving Dunk Shot,Made Shot,132,0,14,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
44,21200778,137,2,9:04,,,MISS Belinelli 17' Jump Shot,201158,Marco Belinelli,1610612741.0,0,,,0,,,Jump Shot,Missed Shot,137,-4,170,17,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
45,21200778,139,2,8:55,MISS Garnett 19' Jump Shot,,,708,Kevin Garnett,1610612738.0,0,,,0,,,Jump Shot,Missed Shot,139,-49,183,18,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
46,21200778,141,2,8:31,,,MISS Butler 1' Layup,202710,Jimmy Butler,1610612741.0,0,,,0,,,Layup Shot,Missed Shot,141,-5,0,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
47,21200778,149,2,8:29,,,MISS Butler 1' Tip Shot,202710,Jimmy Butler,1610612741.0,0,,,0,,,Tip Shot,Missed Shot,149,-9,8,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
48,21200778,143,2,8:18,MISS Garnett 20' Jump Shot,,,708,Kevin Garnett,1610612738.0,0,,,0,,,Jump Shot,Missed Shot,143,-105,172,20,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
49,21200778,145,2,7:52,,,Belinelli 27' 3PT Jump Shot (5 PTS),201158,Marco Belinelli,1610612741.0,0,,,0,,,Jump Shot,Made Shot,145,116,246,27,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
50,21200778,147,2,7:34,MISS Garnett 6' Jump Shot,,,708,Kevin Garnett,1610612738.0,0,,,0,,,Jump Shot,Missed Shot,147,-10,55,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
51,21200778,154,2,7:12,MISS Pierce 17' Jump Shot,,,1718,Paul Pierce,1610612738.0,0,,,0,,,Jump Shot,Missed Shot,154,125,121,17,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
52,21200778,156,2,7:07,Pierce 25' 3PT Jump Shot (3 PTS) (Garnett 1 AST),,,1718,Paul Pierce,1610612738.0,708,Kevin Garnett,1610612738.0,0,,,Jump Shot,Made Shot,156,100,228,24,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
53,21200778,158,2,6:45,,,Boozer 2' Driving Layup (7 PTS) (Teague 3 AST),2430,Carlos Boozer,1610612741.0,203104,Marquis Teague,1610612741.0,0,,,Driving Layup Shot,Made Shot,158,-5,15,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
54,21200778,159,2,6:32,MISS Terry 9' Fadeaway Jumper,,,1891,Jason Terry,1610612738.0,0,,,0,,,Fadeaway Jump Shot,Missed Shot,159,84,36,9,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
55,21200778,162,2,6:19,,,MISS Teague 25' 3PT Jump Shot,203104,Marquis Teague,1610612741.0,0,,,0,,,Jump Shot,Missed Shot,162,140,209,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
56,21200778,167,2,6:01,MISS Bradley 17' Jump Shot,,,202340,Avery Bradley,1610612738.0,0,,,0,,,Jump Shot,Missed Shot,167,-136,107,17,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
57,21200778,169,2,5:44,,,MISS Boozer 13' Jump Shot,2430,Carlos Boozer,1610612741.0,0,,,0,,,Jump Shot,Missed Shot,169,124,23,12,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
58,21200778,174,2,5:28,,,Teague 2' Running Layup (3 PTS),203104,Marquis Teague,1610612741.0,0,,,0,,,Running Layup Shot,Made Shot,174,-11,14,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
59,21200778,175,2,5:05,MISS Bass 18' Jump Shot,,,101138,Brandon Bass,1610612738.0,0,,,0,,,Jump Shot,Missed Shot,175,-131,129,18,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
60,21200778,180,2,4:33,MISS Pierce  Layup,,,1718,Paul Pierce,1610612738.0,0,,,0,,,Layup Shot,Missed Shot,180,0,4,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
61,21200778,182,2,4:21,,,MISS Teague 19' Jump Shot,203104,Marquis Teague,1610612741.0,0,,,0,,,Jump Shot,Missed Shot,182,-70,175,18,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
62,21200778,184,2,4:19,,,Butler  Putback Layup (6 PTS),202710,Jimmy Butler,1610612741.0,0,,,0,,,Putback Layup Shot,Made Shot,184,0,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
63,21200778,188,2,4:00,MISS Lee 19' Jump Shot,,,201584,Courtney Lee,1610612738.0,0,,,0,,,Jump Shot,Missed Shot,188,138,134,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
64,21200778,192,2,3:21,MISS Bass 16' Jump Shot,,,101138,Brandon Bass,1610612738.0,0,,,0,,,Jump Shot,Missed Shot,192,28,154,15,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.
