,AGE,BLK,CFID,CFPARAMS,DEF_RATING,DEF_WS,DREB,DREB_PCT,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PCT_BLK,PCT_DREB,PCT_STL,PLAYER_ID,PLAYER_NAME,STL,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
22,36.0,0.026,5,"156,1610612762",101.4,0.001,0.044,0.098,66,18,0.533,0.16,0.097,0.185,0.338,0.417,0.143,0.061,156,Antoine Carr,0.005,UTA,1610612762,48,0.727
23,21.0,0.009,5,"952,1610612738",104.2,0.0,0.087,0.224,82,46,0.501,0.152,0.161,0.183,0.497,0.197,0.333,0.179,952,Antoine Walker,0.022,BOS,1610612738,36,0.439
24,23.0,0.003,5,"1498,1610612763",111.6,0.0,0.031,0.069,74,57,0.499,0.161,0.198,0.214,0.464,0.061,0.103,0.208,1498,Antonio Daniels,0.014,VAN,1610612763,17,0.23
25,29.0,0.018,5,"213,1610612754",98.4,0.001,0.09,0.197,82,24,0.54,0.159,0.117,0.166,0.401,0.387,0.291,0.127,213,Antonio Davis,0.011,IND,1610612754,58,0.707
26,26.0,0.0,5,"226,1610612748",103.9,0.0,0.044,0.081,6,2,0.44,0.147,0.295,0.383,0.501,0.0,0.107,0.286,226,Antonio Lang,0.029,MIA,1610612748,4,0.667
27,23.0,0.028,5,"686,1610612756",98.8,0.001,0.086,0.188,81,26,0.513,0.153,0.128,0.171,0.436,0.459,0.27,0.211,686,Antonio McDyess,0.021,PHX,1610612756,55,0.679
28,34.0,0.009,5,"288,1610612749",103.8,0.0,0.072,0.168,82,46,0.517,0.162,0.181,0.197,0.471,0.211,0.25,0.172,288,Armen Gilliam,0.016,MIL,1610612749,36,0.439
29,33.0,0.018,5,"717,1610612757",98.9,0.001,0.127,0.284,73,33,0.512,0.116,0.15,0.182,0.374,0.346,0.385,0.189,717,Arvydas Sabonis,0.014,POR,1610612757,40,0.548
30,23.0,0.01,5,"1506,1610612754",105.0,0.0,0.073,0.169,26,5,0.508,0.104,0.142,0.171,0.405,0.25,0.238,0.191,1506,Austin Croshere,0.019,IND,1610612754,21,0.808
31,33.0,0.004,5,"422,1610612759",96.7,0.001,0.024,0.048,75,25,0.524,0.149,0.118,0.174,0.374,0.049,0.066,0.245,422,Avery Johnson,0.016,SAS,1610612759,50,0.667
32,30.0,0.0,5,"769,1610612766",105.9,0.0,0.037,0.084,66,30,0.508,0.159,0.17,0.197,0.434,0.0,0.121,0.196,769,B.J. Armstrong,0.018,CHH,1610612766,36,0.545
33,25.0,0.0,5,"989,1610612752",126.1,-0.001,0.0,0.0,7,6,0.418,0.206,0.138,0.206,0.413,0.0,0.0,0.25,989,Ben Davis,0.034,NYK,1610612752,1,0.143
34,23.0,0.032,5,"1112,1610612764",94.3,0.001,0.096,0.207,67,33,0.507,0.133,0.139,0.156,0.42,0.5,0.298,0.257,1112,Ben Wallace,0.027,WAS,1610612764,34,0.507
35,33.0,0.01,5,"104,1610612755",98.7,0.001,0.089,0.246,14,9,0.509,0.104,0.175,0.175,0.346,0.211,0.347,0.077,104,Benoit Benjamin,0.01,PHI,1610612755,5,0.357
36,26.0,0.004,5,"223,1610612750",103.3,0.0,0.06,0.145,11,3,0.513,0.151,0.133,0.126,0.457,0.063,0.207,0.097,223,Bill Curley,0.011,MIN,1610612750,8,0.727
37,35.0,0.006,5,"82,1610612741",93.1,0.001,0.054,0.114,48,13,0.526,0.15,0.139,0.14,0.399,0.156,0.157,0.058,82,Bill Wennington,0.005,CHI,1610612741,35,0.729
38,29.0,0.008,5,"182,1610612758",103.5,0.0,0.089,0.2,78,53,0.507,0.153,0.167,0.185,0.472,0.156,0.297,0.249,182,Billy Owens,0.02,SAC,1610612758,25,0.321
