,AGE,BLK,BLKA,CFID,CFPARAMS,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
54,24.0,0.013,0.015,5,"735,1610612763",75,61,0.539,0.173,0.162,0.196,0.51,0.048,0.0,735,Bryant Reeves,0.036,0.007,0.036,0.127,VAN,1610612763.0,14,0.187
55,26.0,0.006,0.015,5,"179,1610612743",52,39,0.52,0.144,0.137,0.206,0.441,0.032,0.0,179,Bryant Stith,0.019,0.026,0.035,0.053,DEN,1610612743.0,13,0.25
56,26.0,0.005,0.005,5,"935,1610612762",81,18,0.534,0.135,0.079,0.163,0.377,0.045,0.0,935,Bryon Russell,0.016,0.036,0.047,0.064,UTA,1610612762.0,63,0.778
57,37.0,0.013,0.008,5,"433,1610612752",74,21,0.553,0.126,0.09,0.197,0.341,0.069,0.001,433,Buck Williams,0.04,0.02,0.031,0.111,NYK,1610612752.0,53,0.716
58,36.0,0.006,0.003,5,"2,1610612747",79,25,0.533,0.164,0.133,0.168,0.435,0.024,0.0,2,Byron Scott,0.014,0.034,0.038,0.038,LAL,1610612747.0,54,0.684
59,25.0,0.004,0.007,5,"384,1610612764",79,37,0.52,0.145,0.136,0.196,0.43,0.042,0.0,384,Calbert Cheaney,0.02,0.03,0.036,0.087,WAS,1610612764.0,42,0.532
60,30.0,0.016,0.015,5,"61,1610612759",75,58,0.554,0.162,0.138,0.199,0.441,0.055,0.001,61,Carl Herrera,0.031,0.008,0.031,0.103,SAS,1610612759.0,17,0.227
61,27.0,0.007,0.0,5,"1063,1610612739",19,6,0.535,0.121,0.168,0.262,0.335,0.04,0.0,1063,Carl Thomas,0.027,0.013,0.047,0.054,CLE,1610612739.0,13,0.684
62,26.0,0.025,0.008,5,"435,1610612761",56,39,0.518,0.158,0.204,0.21,0.474,0.049,0.0,435,Carlos Rogers,0.044,0.05,0.04,0.121,TOR,1610612761.0,17,0.304
63,27.0,0.008,0.021,5,"76,1610612756",50,21,0.519,0.163,0.139,0.172,0.452,0.038,0.0,76,Cedric Ceballos,0.045,0.058,0.045,0.15,PHX,1610612756.0,29,0.58
64,34.0,0.006,0.012,5,"787,1610612745",53,12,0.523,0.145,0.125,0.182,0.403,0.037,0.001,787,Charles Barkley,0.052,0.028,0.043,0.118,HOU,1610612745.0,41,0.774
65,40.0,0.023,0.0,5,"279,1610612745",12,5,0.551,0.227,0.131,0.193,0.478,0.04,0.0,279,Charles Jones,0.0,0.0,0.0,0.023,HOU,1610612745.0,7,0.583
66,33.0,0.004,0.004,5,"891,1610612752",80,25,0.54,0.131,0.097,0.197,0.369,0.052,0.001,891,Charles Oakley,0.042,0.015,0.029,0.062,NYK,1610612752.0,55,0.688
67,31.0,0.036,0.01,5,"293,1610612759",19,14,0.553,0.143,0.159,0.19,0.405,0.058,0.0,293,Charles Smith,0.015,0.013,0.029,0.049,SAS,1610612759.0,5,0.263
68,26.0,0.004,0.004,5,"369,1610612752",79,23,0.538,0.136,0.106,0.198,0.369,0.051,0.0,369,Charlie Ward,0.008,0.013,0.027,0.044,NYK,1610612752.0,56,0.709
69,24.0,0.025,0.007,5,"685,1610612750",76,38,0.527,0.152,0.158,0.189,0.432,0.073,0.001,685,Cherokee Parks,0.04,0.011,0.021,0.072,MIN,1610612750.0,38,0.5
