,AST,AST_ADJ,AST_PTS_CREATED,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,FT_AST,GP,L,MIN,PASSES_MADE,PASSES_RECEIVED,PLAYER_ID,PLAYER_NAME,POTENTIAL_AST,SECONDARY_AST,TEAM_ABBREVIATION,TEAM_ID,W
431,10,13,21,0.028,0.037,1,40,19,323.0,354,259,1627748,Thon Maker,15,3,MIL,1610612749,21
432,254,322,580,0.108,0.137,17,50,32,1165.0,2352,2456,204025,Tim Frazier,514,51,NOP,1610612740,18
433,134,182,315,0.089,0.121,16,64,28,1649.0,1508,1906,203501,Tim Hardaway Jr.,255,32,ATL,1610612737,36
434,8,8,19,0.19,0.19,0,13,9,44.0,42,50,1627817,Tim Quarterman,15,0,POR,1610612757,4
435,43,59,104,0.039,0.053,2,54,38,1104.0,1104,907,202389,Timofey Mozgov,93,14,LAL,1610612747,16
436,41,59,91,0.063,0.091,5,53,34,707.0,647,584,1627789,Timothe Luwawu-Cabarrot,68,14,PHI,1610612755,19
437,113,150,266,0.04,0.053,12,66,33,2084.0,2804,2652,202699,Tobias Harris,250,26,DET,1610612765,33
438,79,96,190,0.096,0.117,10,47,17,619.0,823,811,203107,Tomas Satoransky,159,8,WAS,1610612764,30
439,56,90,138,0.078,0.125,7,22,9,390.0,721,743,201962,Toney Douglas,126,27,MEM,1610612763,13
440,72,103,166,0.054,0.077,7,57,28,1557.0,1337,1158,2754,Tony Allen,128,24,MEM,1610612763,29
441,230,297,525,0.096,0.124,14,48,10,1240.0,2391,2653,2225,Tony Parker,467,53,SAS,1610612759,38
442,77,108,183,0.063,0.089,9,64,32,1848.0,1213,1248,203503,Tony Snell,150,22,MIL,1610612749,32
443,5,5,12,0.054,0.054,0,21,12,122.0,93,83,1626203,Treveon Graham,14,0,CHA,1610612766,9
444,145,204,360,0.071,0.099,16,67,21,2307.0,2054,1751,2772,Trevor Ariza,275,43,HOU,1610612745,46
445,125,161,331,0.044,0.056,11,59,48,1537.0,2856,2023,202344,Trevor Booker,263,25,BKN,1610612751,11
446,93,122,222,0.087,0.114,6,54,21,662.0,1071,1306,203504,Trey Burke,187,22,WAS,1610612764,33
447,68,97,180,0.04,0.057,8,62,24,1110.0,1691,1497,1626168,Trey Lyles,135,20,UTA,1610612762,38
448,67,106,179,0.033,0.052,11,65,22,1964.0,2042,1133,202684,Tristan Thompson,129,28,CLE,1610612739,43
449,31,44,77,0.045,0.064,6,51,25,852.0,687,887,203584,Troy Daniels,72,7,MEM,1610612763,26
450,19,21,44,0.064,0.071,1,24,9,418.0,295,305,1627786,Troy Williams,45,1,HOU,1610612745,15
451,277,373,673,0.099,0.134,28,60,39,1514.0,2794,3166,201951,Ty Lawson,583,67,SAC,1610612758,21
452,45,56,107,0.086,0.107,1,37,15,265.0,524,567,203898,Tyler Ennis,81,11,LAL,1610612747,22
453,190,249,457,0.078,0.102,14,58,32,1743.0,2435,2615,204020,Tyler Johnson,411,45,MIA,1610612748,26
454,99,133,222,0.111,0.15,11,44,32,510.0,888,1013,1627755,Tyler Ulis,183,23,PHX,1610612756,12
455,36,46,87,0.071,0.091,3,42,18,445.0,505,453,203092,Tyler Zeller,74,7,BOS,1610612738,24
456,108,137,271,0.102,0.13,11,33,19,640.0,1055,1204,201936,Tyreke Evans,231,17,SAC,1610612758,14
457,29,60,74,0.018,0.038,5,45,31,1229.0,1572,785,2199,Tyson Chandler,75,26,PHX,1610612756,14
458,102,130,245,0.12,0.153,8,43,24,543.0,850,878,1626145,Tyus Jones,170,21,MIN,1610612750,19
459,6,6,13,0.045,0.045,0,15,10,129.0,133,96,2617,Udonis Haslem,16,0,MIA,1610612748,5
460,128,167,302,0.085,0.111,15,51,22,1708.0,1499,1818,203506,Victor Oladipo,247,24,OKC,1610612760,29
461,102,139,236,0.07,0.096,6,58,29,1371.0,1450,1257,1713,Vince Carter,178,31,MEM,1610612763,29
462,49,63,115,0.09,0.116,3,24,9,309.0,544,598,1627735,Wade Baldwin IV,101,11,MEM,1610612763,15
463,58,83,141,0.067,0.096,5,47,21,1201.0,863,1042,201961,Wayne Ellington,104,20,MIA,1610612748,26
464,21,28,46,0.023,0.031,0,58,24,721.0,907,585,202325,Wesley Johnson,43,8,LAC,1610612746,34
465,147,172,364,0.073,0.085,4,59,34,2086.0,2018,2209,202083,Wesley Matthews,325,21,DAL,1610612742,25
466,173,221,420,0.112,0.144,11,51,25,1454.0,1540,1771,203115,Will Barton,347,37,DEN,1610612743,26
467,45,57,107,0.053,0.067,4,59,37,944.0,851,751,1626161,Willie Cauley-Stein,84,8,SAC,1610612758,22
468,22,31,54,0.04,0.056,3,56,26,809.0,556,426,203186,Willie Reed,62,6,MIA,1610612748,30
469,65,88,162,0.043,0.058,8,57,35,956.0,1518,1035,1626195,Willy Hernangomez,124,14,NYK,1610612752,22
470,121,169,310,0.066,0.091,7,59,31,1832.0,1847,1847,201163,Wilson Chandler,246,40,DEN,1610612743,28
471,106,136,272,0.086,0.11,11,29,16,757.0,1233,1399,1627812,Yogi Ferrell,223,18,DAL,1610612742,13
472,139,181,318,0.079,0.103,14,47,31,1749.0,1758,2177,203897,Zach LaVine,279,27,MIN,1610612750,16
473,94,127,240,0.057,0.077,14,58,27,1406.0,1655,1674,2216,Zach Randolph,199,19,MEM,1610612763,31
474,106,159,247,0.082,0.124,7,54,11,1008.0,1285,894,2585,Zaza Pachulia,166,45,GSW,1610612744,43
