,AST,AST_ADJ,AST_PTS_CREATED,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,FT_AST,GP,L,MIN,PASSES_MADE,PASSES_RECEIVED,PLAYER_ID,PLAYER_NAME,POTENTIAL_AST,SECONDARY_AST,TEAM_ABBREVIATION,TEAM_ID,W
384,14,18,32,0.074,0.095,1,18,9,215.0,190,199,1627815,Sheldon McClellan,25,3,WAS,1610612764,9
385,119,153,291,0.07,0.09,12,41,16,934.0,1702,1877,202714,Shelvin Mack,250,22,UTA,1610612762,25
386,0,1,0,0.0,0.048,0,4,4,27.0,21,16,1627746,Skal Labissiere,0,1,SAC,1610612758,0
387,68,97,158,0.07,0.1,9,40,24,1102.0,972,873,203524,Solomon Hill,135,20,NOP,1610612740,16
388,43,56,103,0.08,0.104,4,16,15,289.0,538,541,203915,Spencer Dinwiddie,97,9,BKN,1610612751,1
389,50,75,116,0.08,0.12,13,29,15,497.0,623,594,201150,Spencer Hawes,88,12,CHA,1610612766,14
390,48,69,116,0.075,0.108,10,38,21,619.0,636,544,1626169,Stanley Johnson,88,11,DET,1610612765,17
391,247,370,579,0.116,0.173,22,41,6,1376.0,2138,2554,201939,Stephen Curry,435,101,GSW,1610612744,35
392,1,1,2,0.021,0.021,0,8,5,32.0,47,29,1627757,Stephen Zimmerman,2,0,ORL,1610612753,3
393,0,0,0,0.0,0.0,0,8,2,22.0,12,14,200779,Steve Novak,0,0,MIL,1610612749,6
394,47,69,120,0.044,0.065,5,42,17,1256.0,1062,876,203500,Steven Adams,107,17,OKC,1610612760,25
395,205,263,493,0.091,0.117,20,38,26,847.0,2245,2266,204456,TJ McConnell,436,38,PHI,1610612755,12
396,23,34,51,0.042,0.062,0,26,18,757.0,549,693,203933,TJ Warren,51,11,PHX,1610612756,8
397,49,77,108,0.026,0.041,4,41,21,1141.0,1868,1486,201959,Taj Gibson,92,24,CHI,1610612741,20
398,18,29,46,0.034,0.055,5,33,19,502.0,531,357,204028,Tarik Black,40,7,LAL,1610612747,14
399,16,21,40,0.072,0.095,2,24,11,242.0,221,228,1627752,Taurean Prince,38,3,ATL,1610612737,13
400,46,62,109,0.042,0.057,4,40,25,977.0,1096,937,203093,Terrence Jones,101,12,NOP,1610612740,15
401,24,32,57,0.053,0.071,4,38,13,822.0,450,584,203082,Terrence Ross,51,4,TOR,1610612761,25
402,61,87,144,0.054,0.078,3,36,14,636.0,1120,1145,1626179,Terry Rozier,136,24,BOS,1610612738,22
403,64,101,161,0.058,0.091,8,38,15,988.0,1109,954,200757,Thabo Sefolosha,116,29,ATL,1610612737,23
404,61,93,146,0.038,0.057,8,39,18,1229.0,1624,1247,201152,Thaddeus Young,122,24,IND,1610612754,21
405,21,25,53,0.037,0.044,2,31,22,366.0,565,346,203080,Thomas Robinson,48,2,LAL,1610612747,9
406,1,1,3,0.016,0.016,0,17,7,73.0,64,50,1627748,Thon Maker,1,0,MIL,1610612749,10
407,221,271,499,0.117,0.144,13,34,22,936.0,1886,1978,204025,Tim Frazier,425,37,NOP,1610612740,12
408,66,84,152,0.081,0.103,5,39,16,890.0,816,1042,203501,Tim Hardaway Jr.,136,13,ATL,1610612737,23
409,7,7,17,0.184,0.184,0,12,8,39.0,38,44,1627817,Tim Quarterman,12,0,POR,1610612757,4
410,33,43,82,0.037,0.048,1,44,30,939.0,895,748,202389,Timofey Mozgov,76,9,LAL,1610612747,14
411,12,20,30,0.052,0.086,3,26,18,243.0,233,194,1627789,Timothe Luwawu-Cabarrot,27,5,PHI,1610612755,8
412,74,94,175,0.04,0.05,7,42,23,1385.0,1870,1768,202699,Tobias Harris,170,13,DET,1610612765,19
413,55,61,134,0.103,0.114,4,25,13,380.0,536,551,203107,Tomas Satoransky,112,2,WAS,1610612764,12
414,16,24,37,0.087,0.13,2,6,1,107.0,184,195,201962,Toney Douglas,33,6,MEM,1610612763,5
415,46,69,109,0.054,0.081,7,36,16,1008.0,856,760,2754,Tony Allen,84,16,MEM,1610612763,20
416,145,197,335,0.097,0.131,9,30,6,767.0,1502,1685,2225,Tony Parker,283,43,SAS,1610612759,24
417,50,67,118,0.068,0.091,5,38,19,1117.0,733,752,203503,Tony Snell,91,12,MIL,1610612749,19
418,5,5,12,0.088,0.088,0,12,6,77.0,57,54,1626203,Treveon Graham,11,0,CHA,1610612766,6
419,92,131,224,0.071,0.101,9,43,11,1471.0,1301,1127,2772,Trevor Ariza,163,30,HOU,1610612745,32
420,85,107,227,0.05,0.063,8,33,26,912.0,1710,1192,202344,Trevor Booker,168,14,BKN,1610612751,7
421,56,79,134,0.075,0.106,4,36,17,451.0,744,895,203504,Trey Burke,125,19,WAS,1610612764,19
422,53,76,144,0.041,0.059,6,43,16,843.0,1291,1135,1626168,Trey Lyles,104,16,UTA,1610612762,27
423,30,53,85,0.026,0.046,7,40,11,1158.0,1150,588,202684,Tristan Thompson,61,16,CLE,1610612739,29
424,25,34,61,0.049,0.067,4,32,16,621.0,510,669,203584,Troy Daniels,60,6,MEM,1610612763,16
425,19,21,44,0.064,0.071,1,24,9,418.0,295,305,1627786,Troy Williams,45,1,MEM,1610612763,15
426,162,222,397,0.089,0.122,19,39,24,977.0,1813,2039,201951,Ty Lawson,351,40,SAC,1610612758,15
427,27,31,65,0.075,0.086,0,24,7,173.0,360,395,203898,Tyler Ennis,59,5,HOU,1610612745,17
428,122,162,290,0.076,0.102,9,38,27,1177.0,1596,1719,204020,Tyler Johnson,273,31,MIA,1610612748,11
